machine_id,location_id,store_name,month,game_type,location_type,distance_from_hq_miles,days_active,avg_bet,payout_rate,total_in,total_out,total_net,number_of_services,machine_swapouts,monthly_revenue
M0130,L030,Crossroads Game Center,2025-06-01,Life of Luxury,Gaming Hall,69.5,20,1.78,0.903,2349.98,2098.39,251.59,2,0,-900.0
M0142,L015,Prairie View Gaming,2025-03-01,Classic Reels,Gaming Hall,15.2,22,1.27,0.92,2018.22,1856.96,161.26,0,0,-117.77
M0093,L019,Lakeview Game Center,2025-05-01,Video Poker,Bar,52.4,22,1.65,0.913,1894.24,1760.83,133.41,0,0,-224.66
M0024,L033,Spring Creek Gaming,2025-03-01,Pot of Gold,Bar,69.6,21,2.19,0.922,3219.56,2952.96,266.6,0,0,91.67
M0152,L033,Spring Creek Gaming,2025-04-01,Life of Luxury,Convenience Store,55.1,31,1.71,0.877,2034.54,1739.97,294.57,0,0,762.16
M0082,L021,Cedar Grove Gaming,2026-01-01,Life of Luxury,Bar,102.0,29,1.72,0.925,4124.53,3797.37,327.16,1,1,985.02
M0091,L014,Clearwater Gaming Hall,2025-03-01,Fire Link,Truck Stop,106.3,31,1.76,0.936,4278.89,3990.71,288.18,1,0,781.37
M0067,L030,Crossroads Game Center,2025-01-01,Classic Reels,Restaurant,44.6,22,0.72,0.918,1200.0,1075.37,124.63,0,0,-703.44
M0033,L030,Crossroads Game Center,2025-10-01,Fire Link,Truck Stop,83.5,23,1.87,0.925,4671.8,4334.42,337.38,1,1,-888.14
M0167,L027,Northgate Gaming Hall,2025-06-01,A-Liner,Convenience Store,33.5,23,1.74,0.907,2480.46,2264.84,215.62,0,0,137.52
M0141,L004,Katy Oaks Gaming,2025-09-01,Life of Luxury,Convenience Store,54.1,26,2.14,0.932,2751.7,2626.0,125.7,1,1,-776.25
M0116,L022,Horizon Game Center,2025-03-01,Pot of Gold,Convenience Store,41.4,22,1.98,0.912,2104.55,1885.7,218.85,0,0,87.99
M0073,L028,Southpoint Game Center,2025-04-01,Life of Luxury,Bar,36.7,22,1.54,0.881,3439.49,3060.34,379.15,1,0,262.0
M0149,L043,Victory Lane Gaming,2025-08-01,Classic Reels,Bar,55.8,31,2.22,0.931,1435.35,1352.96,82.39,1,0,788.46
M0099,L024,Metro Star Gaming,2026-01-01,A-Liner,Convenience Store,20.2,24,1.49,0.869,2231.39,1952.99,278.4,0,0,-279.59
M0080,L016,Red Oak Game Center,2025-08-01,Fire Link,Gaming Hall,96.5,29,1.79,0.917,2926.11,2647.89,278.22,0,0,1002.68
M0082,L026,Stonebridge Gaming,2025-10-01,Classic Reels,Gaming Hall,36.8,22,1.48,0.9,2690.14,2386.75,303.39,1,0,-61.62
M0041,L008,Silver Creek Gaming,2025-10-01,Pot of Gold,Truck Stop,93.4,31,1.9,0.899,3456.12,3111.08,345.04,2,1,-19.7
M0017,L005,Gulf Coast Gaming,2025-05-01,Life of Luxury,Gaming Hall,24.1,28,1.44,0.914,1440.55,1318.22,122.33,0,1,36.44
M0100,L031,Oak Ridge Gaming,2025-06-01,Life of Luxury,Convenience Store,36.7,30,2.56,0.892,2511.46,2223.36,288.1,1,0,722.03
M0160,L045,Summit Point Gaming,2025-08-01,Video Poker,Convenience Store,20.1,26,2.76,0.923,4204.49,3945.91,258.58,0,0,3.91
M0012,L039,Crescent Bay Game Center,2025-01-01,Classic Reels,Gaming Hall,19.4,30,2.13,0.911,3011.72,2729.19,282.53,1,1,405.31
M0155,L027,Northgate Gaming Hall,2026-01-01,A-Liner,Truck Stop,26.9,24,2.5,0.895,2186.85,1907.54,279.31,2,1,142.47
M0149,L002,Cypress Point Gaming,2025-12-01,Pot of Gold,Gaming Hall,24.4,25,0.8,0.943,1200.0,1128.37,71.63,0,0,507.1
M0050,L045,Summit Point Gaming,2025-06-01,Life of Luxury,Truck Stop,20.3,20,0.87,0.915,1208.15,1112.42,95.73,1,0,-508.85
M0114,L021,Cedar Grove Gaming,2025-07-01,A-Liner,Restaurant,51.5,22,1.47,0.926,2724.03,2533.63,190.4,1,1,-564.14
M0030,L014,Clearwater Gaming Hall,2025-06-01,Fire Link,Gaming Hall,76.8,29,1.67,0.945,1334.38,1266.34,68.04,3,0,-227.34
M0137,L041,Palms Gaming Center,2025-12-01,Video Poker,Gaming Hall,79.6,23,1.54,0.945,6716.23,6467.25,248.98,1,0,-366.76
M0127,L034,Highland Park Gaming,2026-02-01,Classic Reels,Bar,10.2,21,0.75,0.924,1200.0,1092.75,107.25,1,0,-900.0
M0064,L034,Highland Park Gaming,2025-02-01,Fire Link,Bar,41.2,23,2.28,0.902,3799.07,3407.44,391.63,1,0,204.66
M0013,L013,Heritage Oaks Gaming,2025-08-01,Classic Reels,Gaming Hall,38.1,24,2.83,0.874,2904.67,2592.54,312.13,0,0,464.22
M0175,L045,Summit Point Gaming,2025-01-01,Video Poker,Truck Stop,122.3,28,2.35,0.915,3228.06,2877.47,350.59,0,0,345.34
M0081,L021,Cedar Grove Gaming,2025-09-01,Fire Link,Gaming Hall,42.4,21,2.25,0.937,3550.77,3324.78,225.99,3,0,-900.0
M0161,L024,Metro Star Gaming,2025-05-01,A-Liner,Restaurant,48.4,20,1.77,0.919,1200.0,1120.5,79.5,1,0,-611.63
M0123,L034,Highland Park Gaming,2025-07-01,Video Poker,Gaming Hall,14.3,28,1.19,0.824,1340.0,1123.68,216.32,0,0,1052.21
M0141,L030,Crossroads Game Center,2025-09-01,Life of Luxury,Truck Stop,26.3,21,1.69,0.932,3111.39,2924.46,186.93,2,0,-106.31
M0137,L008,Silver Creek Gaming,2025-06-01,Video Poker,Gaming Hall,13.5,25,2.81,0.933,2049.32,1928.87,120.45,2,0,-155.97
M0036,L014,Clearwater Gaming Hall,2025-08-01,Pot of Gold,Bar,53.9,28,1.46,0.902,2600.42,2313.09,287.33,0,0,1334.86
M0066,L017,Grand Parkway Gaming,2026-02-01,A-Liner,Convenience Store,124.8,26,1.4,0.935,1200.0,1141.77,58.23,2,0,769.25
M0085,L043,Victory Lane Gaming,2026-03-01,Classic Reels,Gaming Hall,27.1,21,2.26,0.926,1619.9,1476.7,143.2,1,0,-596.71
M0090,L033,Spring Creek Gaming,2025-01-01,A-Liner,Restaurant,42.6,28,2.3,0.893,5966.02,5246.01,720.01,1,0,538.22
M0008,L017,Grand Parkway Gaming,2025-07-01,Fire Link,Gaming Hall,24.5,20,1.18,0.942,1200.0,1135.99,64.01,3,0,-481.57
M0099,L034,Highland Park Gaming,2026-04-01,A-Liner,Convenience Store,31.4,22,1.51,0.878,1200.0,1046.5,153.5,0,1,-900.0
M0028,L034,Highland Park Gaming,2025-10-01,Pot of Gold,Convenience Store,54.7,21,1.37,0.909,1200.0,1093.78,106.22,3,1,-734.28
M0134,L018,Copper Creek Gaming,2025-04-01,Life of Luxury,Convenience Store,163.8,26,1.69,0.906,1278.27,1164.72,113.55,2,0,-317.12
M0123,L019,Lakeview Game Center,2025-11-01,Life of Luxury,Gaming Hall,120.8,28,2.26,0.889,3868.82,3521.93,346.89,0,0,645.22
M0167,L041,Palms Gaming Center,2025-03-01,A-Liner,Gaming Hall,144.3,27,1.21,0.918,1924.79,1776.98,147.81,0,0,-115.8
M0135,L026,Stonebridge Gaming,2025-01-01,Fire Link,Gaming Hall,94.0,21,2.25,0.943,3615.7,3382.77,232.93,2,0,-852.03
M0066,L007,Magnolia Gaming Hall,2025-12-01,Life of Luxury,Bar,42.2,24,1.71,0.941,1935.89,1837.39,98.5,1,0,-900.0
M0175,L033,Spring Creek Gaming,2025-10-01,Video Poker,Gaming Hall,37.9,21,2.93,0.928,2587.14,2375.04,212.1,1,1,-35.35
M0074,L027,Northgate Gaming Hall,2026-02-01,Fire Link,Truck Stop,27.2,24,1.83,0.868,3461.77,3042.75,419.02,0,0,667.37
M0059,L023,Willow Creek Gaming,2025-07-01,Fire Link,Bar,3.4,22,1.6,0.877,1893.84,1662.37,231.47,1,0,125.4
M0163,L033,Spring Creek Gaming,2026-04-01,Fire Link,Convenience Store,41.7,28,1.97,0.914,2047.42,1881.18,166.24,1,0,397.28
M0067,L041,Palms Gaming Center,2025-08-01,Life of Luxury,Bar,126.0,29,1.46,0.909,3980.57,3533.28,447.29,0,0,-301.64
M0014,L015,Prairie View Gaming,2026-02-01,Classic Reels,Gaming Hall,125.0,29,0.66,0.898,1200.0,1045.19,154.81,0,0,26.33
M0085,L019,Lakeview Game Center,2025-02-01,Fire Link,Bar,180.0,22,1.52,0.958,3018.91,2837.72,181.19,0,0,-470.1
M0144,L009,Pine Ridge Game Center,2025-02-01,Pot of Gold,Gaming Hall,57.7,20,1.51,0.913,3300.61,3082.6,218.01,4,2,-900.0
M0035,L030,Crossroads Game Center,2026-03-01,Video Poker,Bar,17.5,20,0.77,0.924,1243.19,1131.58,111.61,2,1,-900.0
M0084,L019,Lakeview Game Center,2026-04-01,Classic Reels,Bar,73.4,30,1.61,0.935,2737.02,2583.17,153.85,0,0,75.44
M0024,L016,Red Oak Game Center,2026-05-01,Classic Reels,Bar,164.9,30,0.51,0.911,1200.0,1083.96,116.04,0,0,323.61
M0124,L032,Bay Area Game Center,2025-06-01,Video Poker,Truck Stop,136.8,22,1.46,0.97,1535.28,1484.8,50.48,2,0,-696.79
M0086,L019,Lakeview Game Center,2025-01-01,Video Poker,Gaming Hall,34.6,30,1.78,0.886,2734.08,2420.93,313.15,1,1,683.49
M0060,L021,Cedar Grove Gaming,2026-06-01,Life of Luxury,Bar,19.0,26,1.7,0.895,1200.0,1097.67,102.33,2,0,777.14
M0041,L020,Brazos Bend Gaming,2025-11-01,A-Liner,Gaming Hall,18.5,22,1.42,0.886,2345.1,2094.21,250.89,4,0,-302.15
M0102,L012,Riverstone Game Center,2025-05-01,A-Liner,Bar,28.7,23,1.6,0.949,1838.26,1753.0,85.26,1,0,-367.2
M0121,L006,Westfield Game Center,2026-02-01,Life of Luxury,Restaurant,32.3,23,1.22,0.93,1756.73,1661.09,95.64,0,0,606.96
M0170,L038,Liberty Point Gaming,2026-05-01,Life of Luxury,Gaming Hall,39.8,29,1.66,0.896,2791.11,2479.63,311.48,0,0,-12.95
M0079,L005,Gulf Coast Gaming,2025-06-01,Pot of Gold,Convenience Store,80.2,22,1.68,0.888,2106.37,1897.46,208.91,0,0,-900.0
M0029,L015,Prairie View Gaming,2026-02-01,A-Liner,Bar,38.8,22,1.15,0.945,1200.0,1146.98,53.02,0,0,-680.45
M0150,L031,Oak Ridge Gaming,2026-03-01,Classic Reels,Gaming Hall,52.4,28,1.8,0.919,1572.69,1462.1,110.59,3,0,255.28
M0114,L006,Westfield Game Center,2025-10-01,Classic Reels,Truck Stop,12.6,23,1.79,0.945,1200.0,1131.77,68.23,1,0,-217.88
M0127,L030,Crossroads Game Center,2025-12-01,Life of Luxury,Bar,27.2,23,1.56,0.908,1684.9,1521.05,163.85,0,0,-533.26
M0018,L033,Spring Creek Gaming,2025-05-01,Life of Luxury,Restaurant,26.2,29,2.98,0.923,2721.45,2483.49,237.96,0,0,253.74
M0057,L030,Crossroads Game Center,2026-05-01,Fire Link,Bar,10.5,31,1.57,0.918,1863.02,1692.21,170.81,0,0,246.74
M0139,L014,Clearwater Gaming Hall,2026-06-01,Fire Link,Truck Stop,38.1,26,1.5,0.894,2691.8,2376.85,314.95,1,0,-263.07
M0150,L001,Bayou Star Gaming,2026-06-01,Video Poker,Gaming Hall,12.7,29,1.42,0.906,1950.22,1775.48,174.74,2,0,970.34
M0079,L040,Eagle Ridge Gaming,2026-02-01,Video Poker,Bar,36.0,30,1.12,0.88,1200.0,1052.71,147.29,0,0,495.11
M0145,L015,Prairie View Gaming,2025-01-01,Video Poker,Restaurant,55.3,27,2.03,0.922,6703.13,6214.99,488.14,0,0,1260.86
M0152,L037,Fairway Gaming Hall,2025-07-01,Classic Reels,Bar,127.4,29,1.27,0.929,1525.98,1426.57,99.41,1,0,-262.85
M0070,L009,Pine Ridge Game Center,2025-09-01,Video Poker,Bar,25.1,20,1.34,0.935,1200.0,1106.74,93.26,0,0,-219.18
M0162,L008,Silver Creek Gaming,2026-06-01,Fire Link,Truck Stop,54.2,20,1.35,0.927,1209.92,1105.77,104.15,3,0,-716.42
M0052,L036,Greenfield Game Center,2025-10-01,Pot of Gold,Convenience Store,30.3,30,1.11,0.907,1323.6,1196.87,126.73,0,0,911.58
M0044,L043,Victory Lane Gaming,2025-10-01,Pot of Gold,Convenience Store,12.0,21,0.69,0.949,1200.0,1127.64,72.36,1,0,-370.03
M0123,L039,Crescent Bay Game Center,2025-03-01,Fire Link,Convenience Store,128.3,28,1.4,0.932,3152.09,2904.45,247.64,0,0,759.31
M0115,L034,Highland Park Gaming,2026-03-01,Life of Luxury,Restaurant,57.2,25,2.13,0.945,2259.12,2180.84,78.28,0,0,218.41
M0026,L012,Riverstone Game Center,2025-07-01,Pot of Gold,Truck Stop,70.8,29,1.76,0.946,6314.78,5857.59,457.19,1,0,147.82
M0150,L042,Market Square Gaming,2025-02-01,Video Poker,Convenience Store,142.1,27,2.51,0.907,2124.76,1978.74,146.02,1,0,258.87
M0036,L031,Oak Ridge Gaming,2026-06-01,Life of Luxury,Gaming Hall,35.9,20,2.06,0.92,3017.54,2786.6,230.94,0,0,-289.14
M0145,L008,Silver Creek Gaming,2025-04-01,Video Poker,Gaming Hall,16.7,24,,0.929,4108.88,3865.78,243.1,4,0,-680.61
M0002,L006,Westfield Game Center,2025-01-01,Classic Reels,Convenience Store,24.8,28,2.69,0.881,4313.59,3845.22,468.37,0,0,947.82
M0144,L040,Eagle Ridge Gaming,2025-02-01,A-Liner,Restaurant,15.3,31,1.6,0.882,3459.53,3076.92,382.61,0,0,1273.94
M0142,L013,Heritage Oaks Gaming,2025-09-01,A-Liner,Bar,105.8,29,1.68,0.878,1949.01,1750.1,198.91,0,0,201.11
M0141,L035,Woodland Star Gaming,2025-02-01,Life of Luxury,Gaming Hall,169.0,30,1.64,0.907,2992.68,2675.49,317.19,2,0,133.14
M0120,L007,Magnolia Gaming Hall,2026-04-01,A-Liner,Gaming Hall,54.9,31,2.5,0.902,1470.59,1323.71,146.88,0,0,74.66
M0085,L013,Heritage Oaks Gaming,2025-10-01,Life of Luxury,Bar,81.7,30,1.65,0.874,2263.66,1955.27,308.39,2,0,-347.12
M0127,L013,Heritage Oaks Gaming,2025-06-01,Video Poker,Restaurant,96.6,26,1.29,0.914,2195.55,1962.05,233.5,0,0,52.93
M0050,L013,Heritage Oaks Gaming,2025-01-01,Life of Luxury,Gaming Hall,148.2,24,1.97,0.908,4239.15,3815.51,423.64,0,0,457.22
M0141,L031,Oak Ridge Gaming,2025-09-01,Life of Luxury,Convenience Store,164.5,26,1.2,0.94,1217.0,1171.33,45.67,1,0,-519.99
M0101,L042,Market Square Gaming,2025-03-01,Classic Reels,Restaurant,8.1,29,1.94,0.96,4339.21,4156.61,182.6,0,0,1109.49
M0083,L041,Palms Gaming Center,2026-06-01,A-Liner,Truck Stop,31.0,25,1.88,0.921,1897.21,1792.49,104.72,0,1,-338.89
M0092,L034,Highland Park Gaming,2025-06-01,Fire Link,Gaming Hall,50.5,29,1.55,0.893,2285.4,2098.07,187.33,0,0,484.75
M0103,L010,Bluebonnet Gaming,2025-09-01,A-Liner,Truck Stop,28.0,28,1.96,0.926,2136.56,2055.25,81.31,0,0,199.77
M0007,L044,Town Center Game Hall,2025-01-01,Pot of Gold,Convenience Store,40.6,22,0.83,0.91,1200.0,1119.44,80.56,0,0,127.1
M0026,L025,Parkside Game Center,2025-03-01,A-Liner,Restaurant,67.7,31,1.74,0.904,2796.97,2607.61,189.36,0,0,202.31
M0045,L025,Parkside Game Center,2025-04-01,Life of Luxury,Gaming Hall,66.4,30,1.4,0.888,2898.96,2585.59,313.37,2,0,406.45
M0021,L032,Bay Area Game Center,2025-01-01,Life of Luxury,Bar,94.6,27,3.22,0.898,5622.66,5064.55,558.11,0,0,388.81
M0080,L035,Woodland Star Gaming,2026-02-01,Pot of Gold,Convenience Store,51.3,22,1.74,0.906,1371.63,1247.55,124.08,1,0,-620.63
M0121,L043,Victory Lane Gaming,2026-06-01,Life of Luxury,Bar,3.9,22,1.32,0.93,1409.17,1310.53,98.64,2,0,-444.64
M0118,L027,Northgate Gaming Hall,2026-06-01,Life of Luxury,Bar,38.1,30,0.89,0.923,1200.0,1109.76,90.24,0,0,463.92
M0085,L028,Southpoint Game Center,2025-05-01,Fire Link,Convenience Store,63.1,20,2.37,0.956,2559.61,2470.09,89.52,1,0,-181.78
M0154,L034,Highland Park Gaming,2026-03-01,Life of Luxury,Convenience Store,99.1,25,1.46,,1541.84,1420.67,121.17,0,0,-79.06
M0102,L012,Riverstone Game Center,2025-10-01,Life of Luxury,Gaming Hall,89.7,27,1.21,0.921,1240.94,1122.39,118.55,1,0,309.97
M0015,L014,Clearwater Gaming Hall,2025-01-01,Fire Link,Bar,46.3,22,1.83,0.902,2172.64,1969.2,203.44,2,0,-300.68
M0138,L029,Meadowbrook Gaming,2025-02-01,Pot of Gold,Gaming Hall,29.4,30,2.01,0.884,3480.52,3047.84,432.68,2,0,1229.43
M0104,L003,Lone Star Game Center,2025-10-01,A-Liner,Truck Stop,47.9,26,2.0,0.896,5287.02,4699.78,587.24,2,0,264.55
M0115,L015,Prairie View Gaming,2025-08-01,Video Poker,Truck Stop,9.5,20,1.66,0.893,1200.0,1069.54,130.46,1,0,-619.98
M0102,L033,Spring Creek Gaming,2025-01-01,Fire Link,Gaming Hall,31.8,23,1.74,0.846,3192.56,2686.65,505.91,2,1,59.12
M0100,L044,Town Center Game Hall,2026-05-01,Video Poker,Gaming Hall,111.4,24,1.78,0.885,1519.82,1365.29,154.53,0,0,-232.13
M0017,L024,Metro Star Gaming,2026-02-01,Pot of Gold,Gaming Hall,47.8,22,1.84,0.95,2053.71,1946.92,106.79,1,0,-123.73
M0101,L018,Copper Creek Gaming,2025-10-01,Pot of Gold,Bar,65.0,31,1.88,0.919,3454.49,3222.78,231.71,0,0,1675.47
M0144,L020,Brazos Bend Gaming,2026-06-01,Classic Reels,Truck Stop,14.7,24,2.25,0.901,2197.89,1985.73,212.16,0,0,-360.56
M0055,L031,Oak Ridge Gaming,2026-06-01,Classic Reels,Bar,98.6,26,1.68,0.92,1834.1,1685.42,148.68,0,0,689.27
M0109,L025,Parkside Game Center,2026-06-01,Classic Reels,Gaming Hall,44.5,26,1.2,0.861,1857.2,1602.58,254.62,1,1,-364.67
M0006,L002,Cypress Point Gaming,2025-05-01,Pot of Gold,Gaming Hall,63.4,22,1.57,0.917,1801.39,1623.95,177.44,0,0,400.08
M0063,L025,Parkside Game Center,2026-04-01,Classic Reels,Gaming Hall,73.4,26,2.06,0.942,4041.31,3823.31,218.0,0,0,484.65
M0079,L019,Lakeview Game Center,2025-10-01,Fire Link,Restaurant,96.2,24,0.67,0.907,1200.0,1100.63,99.37,1,1,-322.74
M0177,L032,Bay Area Game Center,2026-02-01,Life of Luxury,Convenience Store,56.7,20,0.67,0.866,1200.0,1053.47,146.53,0,0,-524.84
M0039,L040,Eagle Ridge Gaming,2026-04-01,Pot of Gold,Convenience Store,45.3,24,2.16,0.9,2592.9,2291.54,301.36,1,0,-124.58
M0050,L044,Town Center Game Hall,2025-03-01,Video Poker,Bar,17.9,27,2.49,0.942,3439.57,3177.38,262.19,0,0,122.48
M0074,L028,Southpoint Game Center,2025-09-01,Pot of Gold,Truck Stop,13.4,21,0.95,0.916,1466.37,1333.75,132.62,1,1,-673.21
M0179,L017,Grand Parkway Gaming,2025-03-01,Classic Reels,Bar,55.9,29,1.71,0.875,2392.47,2133.16,259.31,0,0,449.83
M0154,L020,Brazos Bend Gaming,2025-06-01,A-Liner,Restaurant,63.7,27,1.43,0.969,1874.29,1821.16,53.13,0,0,189.52
M0007,L008,Silver Creek Gaming,2025-08-01,Classic Reels,Truck Stop,,23,1.51,0.879,1345.94,1170.57,175.37,0,0,-747.46
M0043,L043,Victory Lane Gaming,2026-04-01,Classic Reels,Bar,25.2,27,1.82,0.904,1306.49,1158.29,148.2,0,0,278.81
M0148,L039,Crescent Bay Game Center,2026-04-01,Classic Reels,Truck Stop,32.0,23,0.94,0.884,1200.0,1050.95,149.05,1,0,302.85
M0011,L039,Crescent Bay Game Center,2025-08-01,Life of Luxury,Gaming Hall,55.2,27,1.04,0.884,1200.0,1049.98,150.02,1,0,560.97
M0155,L015,Prairie View Gaming,2025-06-01,Pot of Gold,Convenience Store,35.3,21,1.48,0.899,2839.96,2585.01,254.95,2,0,-461.87
M0051,L015,Prairie View Gaming,2025-10-01,A-Liner,Gaming Hall,180.0,27,1.57,0.926,1200.0,1125.78,74.22,2,0,812.3
M0166,L039,Crescent Bay Game Center,2026-05-01,Fire Link,Bar,31.5,20,1.03,0.942,1942.9,1805.73,137.17,2,1,-900.0
M0053,L025,Parkside Game Center,2026-06-01,Pot of Gold,Gaming Hall,66.8,20,2.08,0.9,1884.86,1713.41,171.45,1,0,-522.48
M0079,L032,Bay Area Game Center,2025-05-01,Life of Luxury,Gaming Hall,87.9,23,1.42,0.885,3316.66,2961.14,355.52,0,0,-553.8
M0120,L023,Willow Creek Gaming,2025-04-01,Life of Luxury,Gaming Hall,91.6,22,1.42,0.922,1200.0,1089.41,110.59,3,0,-852.23
M0023,L020,Brazos Bend Gaming,2026-01-01,Pot of Gold,Bar,34.8,25,1.81,0.923,2152.21,1984.33,167.88,0,0,892.47
M0101,L029,Meadowbrook Gaming,2025-06-01,Pot of Gold,Convenience Store,73.7,21,1.58,0.916,2654.96,2442.8,212.16,0,0,-484.61
M0091,L037,Fairway Gaming Hall,2025-04-01,Video Poker,Bar,67.5,22,2.11,0.917,2927.14,2689.92,237.22,0,0,-801.91
M0142,L016,Red Oak Game Center,2025-01-01,Life of Luxury,Bar,75.9,21,1.14,0.907,1200.0,1063.77,136.23,3,0,-402.17
M0180,L037,Fairway Gaming Hall,2025-08-01,Video Poker,Truck Stop,54.7,30,0.88,0.912,1200.0,1096.29,103.71,0,0,643.98
M0120,L011,Sunset Bay Gaming,2025-08-01,Video Poker,Truck Stop,88.3,28,1.48,0.905,1200.0,1095.16,104.84,1,0,458.39
M0074,L019,Lakeview Game Center,2025-11-01,Pot of Gold,Gaming Hall,59.4,22,1.68,0.937,4331.42,4140.64,190.78,1,0,-393.63
M0074,L042,Market Square Gaming,2025-04-01,Classic Reels,Bar,16.0,21,0.97,0.966,1200.0,1149.57,50.43,0,0,-801.62
M0076,L043,Victory Lane Gaming,2026-01-01,A-Liner,Convenience Store,58.2,30,0.89,0.914,1200.0,1088.95,111.05,0,0,375.62
M0147,L042,Market Square Gaming,2026-01-01,A-Liner,Restaurant,63.1,28,1.75,0.91,2196.31,1993.14,203.17,3,0,189.01
M0058,L015,Prairie View Gaming,2025-09-01,Pot of Gold,Bar,84.2,30,1.23,0.916,1200.0,1103.39,96.61,0,0,416.59
M0031,L038,Liberty Point Gaming,2025-04-01,Life of Luxury,Restaurant,56.0,22,0.85,0.894,1200.0,1074.2,125.8,0,0,-96.17
M0061,L043,Victory Lane Gaming,2025-10-01,Pot of Gold,Gaming Hall,150.5,24,2.18,0.929,2816.99,2637.41,179.58,1,0,-451.21
M0005,L045,Summit Point Gaming,2026-01-01,A-Liner,Bar,46.5,21,1.3,0.921,1392.89,1264.04,128.85,1,0,-294.39
M0020,L001,Bayou Star Gaming,2025-07-01,Video Poker,Restaurant,33.4,25,2.28,0.899,1820.19,1645.02,175.17,0,1,-213.68
M0017,L034,Highland Park Gaming,2025-05-01,A-Liner,Convenience Store,121.1,21,1.67,0.933,1200.0,1108.91,91.09,0,0,-836.6
M0139,L045,Summit Point Gaming,2025-10-01,Classic Reels,Restaurant,45.6,20,1.81,0.91,1200.0,1089.94,110.06,3,2,-900.0
M0131,L035,Woodland Star Gaming,2025-07-01,Video Poker,Gaming Hall,52.3,26,1.53,0.886,2979.8,2701.18,278.62,1,0,44.23
M0126,L011,Sunset Bay Gaming,2025-08-01,A-Liner,Gaming Hall,63.1,31,0.25,0.919,1200.0,1082.67,117.33,0,0,868.49
M0084,L035,Woodland Star Gaming,2025-07-01,Pot of Gold,Gaming Hall,59.5,27,1.02,0.916,1799.78,1642.56,157.22,2,2,-189.58
M0130,L005,Gulf Coast Gaming,2025-06-01,Video Poker,Gaming Hall,75.5,29,1.58,0.934,3833.87,3522.19,311.68,0,0,777.37
M0030,L022,Horizon Game Center,2026-01-01,Fire Link,Gaming Hall,80.9,29,1.85,0.931,3400.31,3171.93,228.38,0,0,-111.59
M0163,L029,Meadowbrook Gaming,2025-09-01,Pot of Gold,Bar,31.1,31,0.67,0.907,1200.0,1103.49,96.51,0,0,227.96
M0091,L021,Cedar Grove Gaming,2025-09-01,Fire Link,Convenience Store,19.3,21,1.62,0.898,1271.38,1144.29,127.09,2,0,-809.66
M0169,L032,Bay Area Game Center,2025-12-01,Video Poker,Convenience Store,21.5,23,1.03,0.91,1349.7,1226.34,123.36,1,1,-900.0
M0028,L011,Sunset Bay Gaming,2025-07-01,Life of Luxury,Bar,112.4,27,1.78,0.919,2710.42,2534.08,176.34,0,0,-35.32
M0090,L028,Southpoint Game Center,2025-02-01,Fire Link,Gaming Hall,42.8,29,1.64,0.922,2589.41,2397.71,191.7,0,0,972.45
M0126,L030,Crossroads Game Center,2026-04-01,Pot of Gold,Convenience Store,87.4,29,2.06,0.918,1348.47,1251.16,97.31,1,0,479.93
